OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
339,30334003,2,0.013001799,0,0.316,0.083103356,0.156453359
340,30307022,2,0.015440052,0,0.315,0.083103356,0.185793361
341,30806004,0,0.185198256,0,0.051,-0.430346669,-0.430346669
342,30709056,0,0.185198256,0,0.062,-0.430346669,-0.430346669
343,30107041,0,0.185198256,0,0.102,-0.430346669,-0.430346669
344,30708023,1,0.022715643,0,0.387,-0.173621657,-0.130834155
345,30553001,11,5.422205092,1,0.001,2.393628468,2.265265961
346,20702058,1,0.052430991,0,0.35,-0.173621657,-0.301984163
347,30710021,0,0.185198256,0,0.051,-0.430346669,-0.430346669
348,10502032,1,0.061982353,0,0.142,-0.173621657,-0.356996666
349,30102059,0,0.185198256,0,0.084,-0.430346669,-0.430346669
350,20503001,1,0.03014448,0,0.43,-0.173621657,-0.173621657
351,20606801,1,0.041287735,0,0.445,-0.173621657,-0.23780291
352,30555015,5,1.001906398,1,0.009,0.853278393,1.174184658
353,10220717,1,0.03014448,0,0.425,-0.173621657,-0.173621657
354,30305080,0,0.185198256,2,0.021,-0.430346669,-0.430346669
355,20902036,0,0.185198256,2,0.029,-0.430346669,-0.430346669
356,31201071,1,0.03014448,0,0.443,-0.173621657,-0.173621657
357,20501007,1,0.03014448,0,0.427,-0.173621657,-0.173621657
358,20807035,0,0.148371338,0,0.236,-0.430346669,-0.344771665
359,31105021,0,0.141005954,0,0.284,-0.430346669,-0.327656664
360,30306101,1,0.045002154,0,0.333,-0.173621657,-0.259196661
361,20637001,19,19.61651141,1,0.001,4.447428567,4.410753565
362,20602072,0,0.185198256,2,0.02,-0.430346669,-0.430346669
363,30534013,12,7.024373569,1,0.001,2.65035348,2.65035348
364,20615065,1,0.03014448,0,0.383,-0.173621657,-0.173621657
365,20601039,2,0.006906168,0,0.368,0.083103356,0.083103356
366,30343002,2,0.006906168,0,0.411,0.083103356,0.083103356
367,20614016,1,0.049247203,0,0.35,-0.173621657,-0.283646662
368,10320705,1,0.03014448,0,0.411,-0.173621657,-0.173621657
369,20703016,1,0.03014448,0,0.387,-0.173621657,-0.173621657
370,10508009,0,0.185198256,0,0.083,-0.430346669,-0.430346669
371,30303007,0,0.185198256,0,0.462,-0.430346669,-0.430346669
372,20705030,0,0.185198256,2,0.02,-0.430346669,-0.430346669
373,30402031,1,0.022715643,0,0.448,-0.173621657,-0.130834155
374,20402019,1,0.058002619,0,0.122,-0.173621657,-0.33407479
375,20801022,0,0.185198256,2,0.034,-0.430346669,-0.430346669
376,30201023,0,0.185198256,2,0.018,-0.430346669,-0.430346669
377,10505034,0,0.185198256,2,0.014,-0.430346669,-0.430346669
378,30803056,1,0.042879629,0,0.435,-0.173621657,-0.24697166
379,20803020,0,0.185198256,2,0.026,-0.430346669,-0.430346669
380,30802023,0,0.185198256,0,0.058,-0.430346669,-0.430346669
381,31106802,0,0.185198256,2,0.018,-0.430346669,-0.430346669
382,30203021,0,0.185198256,2,0.006,-0.430346669,-0.430346669
383,30602008,1,0.052430991,0,0.344,-0.173621657,-0.301984163
384,30805070,0,0.185198256,2,0.009,-0.430346669,-0.430346669
